Tanggal,Curah_Hujan_mm
1969-01-01,0.0
1969-01-02,0.0
1969-01-03,0.0
1969-01-04,0.0
1969-01-05,0.0
1969-01-06,0.0
1969-01-07,0.0
1969-01-08,10.0
1969-01-09,0.0
1969-01-10,5.0
1969-01-11,0.0
1969-01-12,5.0
1969-01-13,22.0
1969-01-14,0.0
1969-01-15,0.0
1969-01-16,70.0
1969-01-17,10.0
1969-01-18,7.0
1969-01-19,14.0
1969-01-20,61.0
1969-01-21,47.0
1969-01-22,1.0
1969-01-23,37.0
1969-01-24,24.0
1969-01-25,4.0
1969-01-26,0.0
1969-01-27,16.0
1969-01-28,66.0
1969-01-29,0.0
1969-01-30,0.0
1969-01-31,0.0
1969-02-01,14.0
1969-02-02,35.0
1969-02-03,15.0
1969-02-04,32.0
1969-02-05,27.0
1969-02-06,4.0
1969-02-07,4.0
1969-02-08,14.0
1969-02-09,11.0
1969-02-10,2.0
1969-02-11,0.0
1969-02-12,19.0
1969-02-13,4.0
1969-02-14,3.0
1969-02-15,0.0
1969-02-16,19.0
1969-02-17,27.0
1969-02-18,33.0
1969-02-19,5.0
1969-02-20,0.0
1969-02-21,1.0
1969-02-22,0.0
1969-02-23,0.0
1969-02-24,13.0
1969-02-25,0.0
1969-02-26,1.0
1969-02-27,0.0
1969-02-28,10.0
1969-03-01,15.0
1969-03-02,6.0
1969-03-03,0.0
1969-03-04,0.0
1969-03-05,0.0
1969-03-06,0.0
1969-03-07,6.0
1969-03-08,0.0
1969-03-09,0.0
1969-03-10,0.0
1969-03-11,0.0
1969-03-12,33.0
1969-03-13,73.0
1969-03-14,30.0
1969-03-15,10.0
1969-03-16,28.0
1969-03-17,32.0
1969-03-18,47.0
1969-03-19,5.0
1969-03-20,53.0
1969-03-21,0.0
1969-03-22,3.0
1969-03-23,63.0
1969-03-24,6.0
1969-03-25,0.0
1969-03-26,0.0
1969-03-27,0.0
1969-03-28,0.0
1969-03-29,2.0
1969-03-30,0.0
1969-03-31,0.0
1969-04-01,21.0
1969-04-02,2.0
1969-04-03,3.0
1969-04-04,35.0
1969-04-05,79.0
1969-04-06,17.0
1969-04-07,5.0
1969-04-08,0.0
1969-04-09,1.0
1969-04-10,54.0
1969-04-11,12.0
1969-04-12,6.0
1969-04-13,52.0
1969-04-14,1.0
1969-04-15,44.0
1969-04-16,4.0
1969-04-17,2.0
1969-04-18,0.0
1969-04-19,0.0
1969-04-20,102.0
1969-04-21,7.0
1969-04-22,9.0
1969-04-23,31.0
1969-04-24,4.0
1969-04-25,549.0
1969-04-26,21.0
1969-04-27,3.0
1969-04-28,61.0
1969-04-29,2.0
1969-04-30,0.0
1969-05-01,0.0
1969-05-02,0.0
1969-05-03,0.0
1969-05-04,0.0
1969-05-05,0.0
1969-05-06,0.0
1969-05-07,4.0
1969-05-08,57.0
1969-05-09,0.0
1969-05-10,0.0
1969-05-11,0.0
1969-05-12,15.0
1969-05-13,31.0
1969-05-14,0.0
1969-05-15,0.0
1969-05-16,0.0
1969-05-17,1.0
1969-05-18,0.0
1969-05-19,0.0
1969-05-20,103.0
1969-05-21,0.0
1969-05-22,2.0
1969-05-23,0.0
1969-05-24,0.0
1969-05-25,0.0
