date,penumpang
2025-03-19,56787
2025-03-20,56784
2025-03-21,59951
2025-03-22,48275
2025-03-23,43641
2025-03-24,55309
2025-03-25,56098
2025-03-26,56386
2025-03-27,55191
2025-03-28,58493
2025-03-29,47300
2025-03-30,54527
2025-03-31,63542
2025-04-01,58783
2025-04-02,55285
2025-04-03,52397
2025-04-04,50295
2025-04-05,41095
2025-04-06,42329
2025-04-07,54565
2025-04-08,56016
2025-04-09,55590
2025-04-10,56618
2025-04-11,60289
2025-04-12,48874
2025-04-13,47020
2025-04-14,58917
2025-04-15,59803
2025-04-16,62982
2025-04-17,61465
2025-04-18,63559
2025-04-19,52567
2025-04-20,46891
2025-04-21,58806
2025-04-22,59187
2025-04-23,58651
2025-04-24,59267
2025-04-25,62226
2025-04-26,51168
2025-04-27,45702
2025-04-28,58492
2025-04-29,58142
2025-04-30,62445
2025-05-01,51892
2025-05-02,62407
2025-05-03,53680
2025-05-04,45313
2025-05-05,59914
2025-05-06,59605
2025-05-07,60206
2025-05-08,60569
2025-05-09,62674
2025-05-10,55656
2025-05-11,58142
2025-05-12,46499
2025-05-13,59407
2025-05-14,58814
2025-05-15,59898
2025-05-16,61306
2025-05-17,49403
2025-05-18,42852
2025-05-19,57035
2025-05-20,58811
2025-05-21,60208
2025-05-22,60620
2025-05-23,65132
2025-05-24,56059
2025-05-25,46670
2025-05-26,54785
2025-05-27,56716
2025-05-28,60401
2025-05-29,62840
2025-05-30,66455
2025-05-31,59536
2025-06-01,63271
2025-06-02,48644
2025-06-03,61195
2025-06-04,60373
2025-06-05,60136
2025-06-06,59910
2025-06-07,61041
2025-06-08,54318
2025-06-09,56409
2025-06-10,58405
2025-06-11,59653
2025-06-12,58792
2025-06-13,61824
2025-06-14,51582
2025-06-15,45601
2025-06-16,57615
2025-06-17,58409
2025-06-18,59505
2025-06-19,57890
2025-06-20,62276
2025-06-21,47895
2025-06-22,45718
2025-06-23,56785
2025-06-24,56860
2025-06-25,58354
2025-06-26,59612
